sqft,bedrooms,bathrooms,price
2348,4.0,3.0,352029
1903,3.0,2.5,310876
2453,4.0,3.0,402066
3066,4.0,3.5,539127
1836,3.0,1.6,327445
1836,3.0,2.6,292145
3105,5.0,4.2,525205
2537,4.0,3.0,383782
1671,3.0,2.8,335231
2380,3.0,3.2,386197
1676,3.0,1.7,293132
1674,3.0,2.1,333224
2169,4.0,2.9,344946
661,1.0,1.0,114357
793,2.0,1.9,169317
1606,2.0,1.7,305127
1291,1.0,1.0,186939
2220,3.0,1.7,289993
1364,2.0,2.1,243647
1011,2.0,1.0,213160
3026,5.0,4.2,533521
1842,2.0,2.1,300656
2047,3.0,3.3,348987
1003,3.0,1.5,241169
1619,3.0,1.0,233528
2078,3.0,2.7,346004
1194,2.0,2.6,245277
2263,3.0,3.3,396389
1580,3.0,2.5,280801
1796,2.0,1.7,302759
1579,2.0,2.2,219648
3297,4.0,3.2,499535
1991,3.0,2.8,357804
1260,2.0,2.0,216595
2576,3.0,3.4,425368
1145,3.0,3.6,265821
2146,2.0,2.3,342581
628,1.0,1.0,149649
1070,2.0,1.6,189564
2138,4.0,2.4,362171
2517,5.0,3.7,451687
2120,3.0,2.4,361119
1919,3.0,2.3,317222
1789,3.0,2.6,325513
965,1.0,1.0,203669
1496,3.0,3.0,238285
1678,3.0,2.5,334283
2740,3.0,2.9,429192
2241,4.0,3.1,398701
766,2.0,1.6,207036
2227,3.0,3.1,344131
1730,3.0,2.1,289117
1526,2.0,1.5,259925
2428,4.0,3.2,392187
2722,4.0,2.8,485577
2652,3.0,2.5,400808
1413,2.0,1.5,239617
1784,3.0,3.0,329136
2232,4.0,3.4,360572
2683,4.0,3.6,437254
1665,3.0,2.9,316486
1870,1.0,1.3,289683
1226,2.0,1.9,233533
1163,1.0,1.0,196285
2569,3.0,3.0,380390
2949,4.0,3.3,483564
1950,2.0,1.0,355824
2702,5.0,4.0,462757
2253,3.0,3.4,390809
1548,2.0,2.3,296728
2253,3.0,3.2,351024
3077,5.0,4.8,559358
1975,3.0,2.6,347249
3095,4.0,3.7,538626
500,1.0,1.0,111674
2575,3.0,2.7,460891
2061,2.0,2.3,360291
